"productCode","marketplace","msrp","crp","currencyCode","nikeSize","localizedSize","vendorSize","gtin","weightUnits","dimensionalUnits","grossPackageWeight","netWeight","dimensionalWeight","packageLength","packageWidth","packageHeight","packageQuantity","pid","skuId"
"CD4570-300","RU",12790,12790,"RUB","6","6","6","00193154366372","kg","cm",0.64,0.64,,33.5,20.7,11.5,,12789418,24121155
"CD4570-300","RU",12790,12790,"RUB","8","8","8","00193154366419","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121156
"CD4570-300","RU",12790,12790,"RUB","7","7","7","00193154366396","kg","cm",0.68,0.68,,33.5,20.7,11.5,,12789418,24121157
"CD4570-300","RU",12790,12790,"RUB","7.5","7.5","7.5","00193154366402","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121158
"CD4570-300","RU",12790,12790,"RUB","13","13","13","00193154366518","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121159
"CD4570-300","RU",12790,12790,"RUB","6.5","6.5","6.5","00193154366389","kg","cm",0.66,0.66,,33.5,20.7,11.5,,12789418,24121160
"CD4570-300","RU",12790,12790,"RUB","12","12","12","00193154366495","kg","cm",0.9,0.9,,36.4,23.8,12.7,,12789418,24121161
"CD4570-300","RU",12790,12790,"RUB","9.5","9.5","9.5","00193154366440","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121162
"CD4570-300","RU",12790,12790,"RUB","15","15","15","00193154366532","kg","cm",1.06,1.06,,38.3,24.2,13.5,,12789418,24121163
"CD4570-300","RU",12790,12790,"RUB","8.5","8.5","8.5","00193154366426","kg","cm",0.72,0.72,,33.5,20.7,11.5,,12789418,24121164
"CD4570-300","RU",12790,12790,"RUB","14","14","14","00193154366525","kg","cm",0.94,0.94,,38.3,24.2,13.5,,12789418,24121165
"CD4570-300","RU",12790,12790,"RUB","11","11","11","00193154366471","kg","cm",0.84,0.84,,36,23.7,12,,12789418,24121166
"CD4570-300","RU",12790,12790,"RUB","10","10","10","00193154366457","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121167
"CD4570-300","RU",12790,12790,"RUB","10.5","10.5","10.5","00193154366464","kg","cm",0.84,0.84,,34.4,23.2,12.5,,12789418,24121168
"CD4570-300","RU",12790,12790,"RUB","12.5","12.5","12.5","00193154366501","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121169
"CD4570-300","RU",12790,12790,"RUB","11.5","11.5","11.5","00193154366488","kg","cm",0.88,0.88,,36.4,23.8,12.7,,12789418,24121170
"CD4570-300","TR",1029.9,1029.9,"TRY","9","9","9","00193154366433","kg","cm",0.74,0.74,,33.5,20.7,11.5,,12789418,24121154
"CD4570-300","TR",1029.9,1029.9,"TRY","6","6","6","00193154366372","kg","cm",0.64,0.64,,33.5,20.7,11.5,,12789418,24121155
"CD4570-300","TR",1029.9,1029.9,"TRY","8","8","8","00193154366419","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121156
"CD4570-300","TR",1029.9,1029.9,"TRY","7","7","7","00193154366396","kg","cm",0.68,0.68,,33.5,20.7,11.5,,12789418,24121157
"CD4570-300","TR",1029.9,1029.9,"TRY","7.5","7.5","7.5","00193154366402","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121158
"CD4570-300","TR",1029.9,1029.9,"TRY","13","13","13","00193154366518","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121159
"CD4570-300","TR",1029.9,1029.9,"TRY","6.5","6.5","6.5","00193154366389","kg","cm",0.66,0.66,,33.5,20.7,11.5,,12789418,24121160
"CD4570-300","TR",1029.9,1029.9,"TRY","12","12","12","00193154366495","kg","cm",0.9,0.9,,36.4,23.8,12.7,,12789418,24121161
"CD4570-300","TR",1029.9,1029.9,"TRY","9.5","9.5","9.5","00193154366440","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121162
"CD4570-300","TR",1029.9,1029.9,"TRY","15","15","15","00193154366532","kg","cm",1.06,1.06,,38.3,24.2,13.5,,12789418,24121163
"CD4570-300","TR",1029.9,1029.9,"TRY","8.5","8.5","8.5","00193154366426","kg","cm",0.72,0.72,,33.5,20.7,11.5,,12789418,24121164
"CD4570-300","TR",1029.9,1029.9,"TRY","14","14","14","00193154366525","kg","cm",0.94,0.94,,38.3,24.2,13.5,,12789418,24121165
"CD4570-300","TR",1029.9,1029.9,"TRY","11","11","11","00193154366471","kg","cm",0.84,0.84,,36,23.7,12,,12789418,24121166
"CD4570-300","TR",1029.9,1029.9,"TRY","10","10","10","00193154366457","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121167
"CD4570-300","TR",1029.9,1029.9,"TRY","10.5","10.5","10.5","00193154366464","kg","cm",0.84,0.84,,34.4,23.2,12.5,,12789418,24121168
"CD4570-300","TR",1029.9,1029.9,"TRY","12.5","12.5","12.5","00193154366501","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121169
"CD4570-300","TR",1029.9,1029.9,"TRY","11.5","11.5","11.5","00193154366488","kg","cm",0.88,0.88,,36.4,23.8,12.7,,12789418,24121170
"CD4570-300","CH",214.95,214.95,"CHF","9","9","9","00193154366433","kg","cm",0.74,0.74,,33.5,20.7,11.5,,12789418,24121154
"CD4570-300","CH",214.95,214.95,"CHF","6","6","6","00193154366372","kg","cm",0.64,0.64,,33.5,20.7,11.5,,12789418,24121155
"CD4570-300","CH",214.95,214.95,"CHF","8","8","8","00193154366419","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121156
"CD4570-300","CH",214.95,214.95,"CHF","7","7","7","00193154366396","kg","cm",0.68,0.68,,33.5,20.7,11.5,,12789418,24121157
"CD4570-300","CH",214.95,214.95,"CHF","7.5","7.5","7.5","00193154366402","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121158
"CD4570-300","CH",214.95,214.95,"CHF","13","13","13","00193154366518","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121159
"CD4570-300","CH",214.95,214.95,"CHF","6.5","6.5","6.5","00193154366389","kg","cm",0.66,0.66,,33.5,20.7,11.5,,12789418,24121160
"CD4570-300","CH",214.95,214.95,"CHF","12","12","12","00193154366495","kg","cm",0.9,0.9,,36.4,23.8,12.7,,12789418,24121161
"CD4570-300","CH",214.95,214.95,"CHF","9.5","9.5","9.5","00193154366440","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121162
"CD4570-300","CH",214.95,214.95,"CHF","15","15","15","00193154366532","kg","cm",1.06,1.06,,38.3,24.2,13.5,,12789418,24121163
"CD4570-300","CH",214.95,214.95,"CHF","8.5","8.5","8.5","00193154366426","kg","cm",0.72,0.72,,33.5,20.7,11.5,,12789418,24121164
"CD4570-300","CH",214.95,214.95,"CHF","14","14","14","00193154366525","kg","cm",0.94,0.94,,38.3,24.2,13.5,,12789418,24121165
"CD4570-300","CH",214.95,214.95,"CHF","11","11","11","00193154366471","kg","cm",0.84,0.84,,36,23.7,12,,12789418,24121166
"CD4570-300","CH",214.95,214.95,"CHF","10","10","10","00193154366457","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121167
"CD4570-300","CH",214.95,214.95,"CHF","10.5","10.5","10.5","00193154366464","kg","cm",0.84,0.84,,34.4,23.2,12.5,,12789418,24121168
"CD4570-300","CH",214.95,214.95,"CHF","12.5","12.5","12.5","00193154366501","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121169
"CD4570-300","CH",214.95,214.95,"CHF","11.5","11.5","11.5","00193154366488","kg","cm",0.88,0.88,,36.4,23.8,12.7,,12789418,24121170
"CD4570-300","HR",1219.95,1219.95,"HRK","9","9","9","00193154366433","kg","cm",0.74,0.74,,33.5,20.7,11.5,,12789418,24121154
"CD4570-300","HR",1219.95,1219.95,"HRK","6","6","6","00193154366372","kg","cm",0.64,0.64,,33.5,20.7,11.5,,12789418,24121155
"CD4570-300","HR",1219.95,1219.95,"HRK","8","8","8","00193154366419","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121156
"CD4570-300","HR",1219.95,1219.95,"HRK","7","7","7","00193154366396","kg","cm",0.68,0.68,,33.5,20.7,11.5,,12789418,24121157
"CD4570-300","HR",1219.95,1219.95,"HRK","7.5","7.5","7.5","00193154366402","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121158
"CD4570-300","HR",1219.95,1219.95,"HRK","13","13","13","00193154366518","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121159
"CD4570-300","HR",1219.95,1219.95,"HRK","6.5","6.5","6.5","00193154366389","kg","cm",0.66,0.66,,33.5,20.7,11.5,,12789418,24121160
"CD4570-300","HR",1219.95,1219.95,"HRK","12","12","12","00193154366495","kg","cm",0.9,0.9,,36.4,23.8,12.7,,12789418,24121161
"CD4570-300","HR",1219.95,1219.95,"HRK","9.5","9.5","9.5","00193154366440","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121162
"CD4570-300","HR",1219.95,1219.95,"HRK","15","15","15","00193154366532","kg","cm",1.06,1.06,,38.3,24.2,13.5,,12789418,24121163
"CD4570-300","HR",1219.95,1219.95,"HRK","8.5","8.5","8.5","00193154366426","kg","cm",0.72,0.72,,33.5,20.7,11.5,,12789418,24121164
"CD4570-300","HR",1219.95,1219.95,"HRK","14","14","14","00193154366525","kg","cm",0.94,0.94,,38.3,24.2,13.5,,12789418,24121165
"CD4570-300","HR",1219.95,1219.95,"HRK","11","11","11","00193154366471","kg","cm",0.84,0.84,,36,23.7,12,,12789418,24121166
"CD4570-300","HR",1219.95,1219.95,"HRK","10","10","10","00193154366457","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121167
"CD4570-300","HR",1219.95,1219.95,"HRK","10.5","10.5","10.5","00193154366464","kg","cm",0.84,0.84,,34.4,23.2,12.5,,12789418,24121168
"CD4570-300","HR",1219.95,1219.95,"HRK","12.5","12.5","12.5","00193154366501","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121169
"CD4570-300","HR",1219.95,1219.95,"HRK","11.5","11.5","11.5","00193154366488","kg","cm",0.88,0.88,,36.4,23.8,12.7,,12789418,24121170
"CD4570-300","IL",739.9,739.9,"ILS","9","9","9","00193154366433","kg","cm",0.74,0.74,,33.5,20.7,11.5,,12789418,24121154
"CD4570-300","IL",739.9,739.9,"ILS","6","6","6","00193154366372","kg","cm",0.64,0.64,,33.5,20.7,11.5,,12789418,24121155
"CD4570-300","IL",739.9,739.9,"ILS","8","8","8","00193154366419","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121156
"CD4570-300","IL",739.9,739.9,"ILS","7","7","7","00193154366396","kg","cm",0.68,0.68,,33.5,20.7,11.5,,12789418,24121157
"CD4570-300","IL",739.9,739.9,"ILS","7.5","7.5","7.5","00193154366402","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121158
"CD4570-300","IL",739.9,739.9,"ILS","13","13","13","00193154366518","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121159
"CD4570-300","IL",739.9,739.9,"ILS","6.5","6.5","6.5","00193154366389","kg","cm",0.66,0.66,,33.5,20.7,11.5,,12789418,24121160
"CD4570-300","IL",739.9,739.9,"ILS","12","12","12","00193154366495","kg","cm",0.9,0.9,,36.4,23.8,12.7,,12789418,24121161
"CD4570-300","IL",739.9,739.9,"ILS","9.5","9.5","9.5","00193154366440","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121162
"CD4570-300","IL",739.9,739.9,"ILS","15","15","15","00193154366532","kg","cm",1.06,1.06,,38.3,24.2,13.5,,12789418,24121163
"CD4570-300","IL",739.9,739.9,"ILS","8.5","8.5","8.5","00193154366426","kg","cm",0.72,0.72,,33.5,20.7,11.5,,12789418,24121164
"CD4570-300","IL",739.9,739.9,"ILS","14","14","14","00193154366525","kg","cm",0.94,0.94,,38.3,24.2,13.5,,12789418,24121165
"CD4570-300","IL",739.9,739.9,"ILS","11","11","11","00193154366471","kg","cm",0.84,0.84,,36,23.7,12,,12789418,24121166
"CD4570-300","IL",739.9,739.9,"ILS","10","10","10","00193154366457","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121167
"CD4570-300","IL",739.9,739.9,"ILS","10.5","10.5","10.5","00193154366464","kg","cm",0.84,0.84,,34.4,23.2,12.5,,12789418,24121168
"CD4570-300","IL",739.9,739.9,"ILS","12.5","12.5","12.5","00193154366501","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121169
"CD4570-300","IL",739.9,739.9,"ILS","11.5","11.5","11.5","00193154366488","kg","cm",0.88,0.88,,36.4,23.8,12.7,,12789418,24121170
"CD4570-300","SK",165,165,"EUR","9","9","9","00193154366433","kg","cm",0.74,0.74,,33.5,20.7,11.5,,12789418,24121154
"CD4570-300","SK",165,165,"EUR","6","6","6","00193154366372","kg","cm",0.64,0.64,,33.5,20.7,11.5,,12789418,24121155
"CD4570-300","SK",165,165,"EUR","8","8","8","00193154366419","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121156
"CD4570-300","SK",165,165,"EUR","7","7","7","00193154366396","kg","cm",0.68,0.68,,33.5,20.7,11.5,,12789418,24121157
"CD4570-300","SK",165,165,"EUR","7.5","7.5","7.5","00193154366402","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121158
"CD4570-300","SK",165,165,"EUR","13","13","13","00193154366518","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121159
"CD4570-300","SK",165,165,"EUR","6.5","6.5","6.5","00193154366389","kg","cm",0.66,0.66,,33.5,20.7,11.5,,12789418,24121160
"CD4570-300","SK",165,165,"EUR","12","12","12","00193154366495","kg","cm",0.9,0.9,,36.4,23.8,12.7,,12789418,24121161
"CD4570-300","SK",165,165,"EUR","9.5","9.5","9.5","00193154366440","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121162
"CD4570-300","SK",165,165,"EUR","15","15","15","00193154366532","kg","cm",1.06,1.06,,38.3,24.2,13.5,,12789418,24121163
"CD4570-300","SK",165,165,"EUR","8.5","8.5","8.5","00193154366426","kg","cm",0.72,0.72,,33.5,20.7,11.5,,12789418,24121164
"CD4570-300","SK",165,165,"EUR","14","14","14","00193154366525","kg","cm",0.94,0.94,,38.3,24.2,13.5,,12789418,24121165
"CD4570-300","SK",165,165,"EUR","11","11","11","00193154366471","kg","cm",0.84,0.84,,36,23.7,12,,12789418,24121166
"CD4570-300","SK",165,165,"EUR","10","10","10","00193154366457","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121167
"CD4570-300","SK",165,165,"EUR","10.5","10.5","10.5","00193154366464","kg","cm",0.84,0.84,,34.4,23.2,12.5,,12789418,24121168
"CD4570-300","SK",165,165,"EUR","12.5","12.5","12.5","00193154366501","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121169
"CD4570-300","SK",165,165,"EUR","11.5","11.5","11.5","00193154366488","kg","cm",0.88,0.88,,36.4,23.8,12.7,,12789418,24121170
"CD4570-300","AU",240,240,"AUD","9","9","9","00193154366433","kg","cm",0.74,0.74,,33.5,20.7,11.5,,12789418,24121154
"CD4570-300","AU",240,240,"AUD","6","6","6","00193154366372","kg","cm",0.64,0.64,,33.5,20.7,11.5,,12789418,24121155
"CD4570-300","AU",240,240,"AUD","8","8","8","00193154366419","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121156
"CD4570-300","AU",240,240,"AUD","7","7","7","00193154366396","kg","cm",0.68,0.68,,33.5,20.7,11.5,,12789418,24121157
"CD4570-300","AU",240,240,"AUD","7.5","7.5","7.5","00193154366402","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121158
"CD4570-300","AU",240,240,"AUD","13","13","13","00193154366518","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121159
"CD4570-300","AU",240,240,"AUD","6.5","6.5","6.5","00193154366389","kg","cm",0.66,0.66,,33.5,20.7,11.5,,12789418,24121160
"CD4570-300","AU",240,240,"AUD","12","12","12","00193154366495","kg","cm",0.9,0.9,,36.4,23.8,12.7,,12789418,24121161
"CD4570-300","AU",240,240,"AUD","9.5","9.5","9.5","00193154366440","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121162
"CD4570-300","AU",240,240,"AUD","15","15","15","00193154366532","kg","cm",1.06,1.06,,38.3,24.2,13.5,,12789418,24121163
"CD4570-300","AU",240,240,"AUD","8.5","8.5","8.5","00193154366426","kg","cm",0.72,0.72,,33.5,20.7,11.5,,12789418,24121164
"CD4570-300","AU",240,240,"AUD","14","14","14","00193154366525","kg","cm",0.94,0.94,,38.3,24.2,13.5,,12789418,24121165
"CD4570-300","AU",240,240,"AUD","11","11","11","00193154366471","kg","cm",0.84,0.84,,36,23.7,12,,12789418,24121166
"CD4570-300","AU",240,240,"AUD","10","10","10","00193154366457","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121167
"CD4570-300","AU",240,240,"AUD","10.5","10.5","10.5","00193154366464","kg","cm",0.84,0.84,,34.4,23.2,12.5,,12789418,24121168
"CD4570-300","AU",240,240,"AUD","12.5","12.5","12.5","00193154366501","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121169
"CD4570-300","AU",240,240,"AUD","11.5","11.5","11.5","00193154366488","kg","cm",0.88,0.88,,36.4,23.8,12.7,,12789418,24121170
"CD4570-300","NZ",270,270,"NZD","9","9","9","00193154366433","kg","cm",0.74,0.74,,33.5,20.7,11.5,,12789418,24121154
"CD4570-300","NZ",270,270,"NZD","6","6","6","00193154366372","kg","cm",0.64,0.64,,33.5,20.7,11.5,,12789418,24121155
"CD4570-300","NZ",270,270,"NZD","8","8","8","00193154366419","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121156
"CD4570-300","NZ",270,270,"NZD","7","7","7","00193154366396","kg","cm",0.68,0.68,,33.5,20.7,11.5,,12789418,24121157
"CD4570-300","NZ",270,270,"NZD","7.5","7.5","7.5","00193154366402","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121158
"CD4570-300","NZ",270,270,"NZD","13","13","13","00193154366518","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121159
"CD4570-300","NZ",270,270,"NZD","6.5","6.5","6.5","00193154366389","kg","cm",0.66,0.66,,33.5,20.7,11.5,,12789418,24121160
"CD4570-300","NZ",270,270,"NZD","12","12","12","00193154366495","kg","cm",0.9,0.9,,36.4,23.8,12.7,,12789418,24121161
"CD4570-300","NZ",270,270,"NZD","9.5","9.5","9.5","00193154366440","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121162
"CD4570-300","NZ",270,270,"NZD","15","15","15","00193154366532","kg","cm",1.06,1.06,,38.3,24.2,13.5,,12789418,24121163
"CD4570-300","NZ",270,270,"NZD","8.5","8.5","8.5","00193154366426","kg","cm",0.72,0.72,,33.5,20.7,11.5,,12789418,24121164
"CD4570-300","NZ",270,270,"NZD","14","14","14","00193154366525","kg","cm",0.94,0.94,,38.3,24.2,13.5,,12789418,24121165
"CD4570-300","NZ",270,270,"NZD","11","11","11","00193154366471","kg","cm",0.84,0.84,,36,23.7,12,,12789418,24121166
"CD4570-300","NZ",270,270,"NZD","10","10","10","00193154366457","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121167
"CD4570-300","NZ",270,270,"NZD","10.5","10.5","10.5","00193154366464","kg","cm",0.84,0.84,,34.4,23.2,12.5,,12789418,24121168
"CD4570-300","NZ",270,270,"NZD","12.5","12.5","12.5","00193154366501","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121169
"CD4570-300","NZ",270,270,"NZD","11.5","11.5","11.5","00193154366488","kg","cm",0.88,0.88,,36.4,23.8,12.7,,12789418,24121170
"CD4570-300","CL",124990,124990,"CLP","9","9","9","00193154366433","kg","cm",0.74,0.74,,33.5,20.7,11.5,,12789418,24121154
"CD4570-300","CL",124990,124990,"CLP","6","6","6","00193154366372","kg","cm",0.64,0.64,,33.5,20.7,11.5,,12789418,24121155
"CD4570-300","CL",124990,124990,"CLP","8","8","8","00193154366419","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121156
"CD4570-300","CL",124990,124990,"CLP","7","7","7","00193154366396","kg","cm",0.68,0.68,,33.5,20.7,11.5,,12789418,24121157
"CD4570-300","CL",124990,124990,"CLP","7.5","7.5","7.5","00193154366402","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121158
"CD4570-300","CL",124990,124990,"CLP","13","13","13","00193154366518","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121159
"CD4570-300","CL",124990,124990,"CLP","6.5","6.5","6.5","00193154366389","kg","cm",0.66,0.66,,33.5,20.7,11.5,,12789418,24121160
"CD4570-300","CL",124990,124990,"CLP","12","12","12","00193154366495","kg","cm",0.9,0.9,,36.4,23.8,12.7,,12789418,24121161
"CD4570-300","CL",124990,124990,"CLP","9.5","9.5","9.5","00193154366440","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121162
"CD4570-300","CL",124990,124990,"CLP","15","15","15","00193154366532","kg","cm",1.06,1.06,,38.3,24.2,13.5,,12789418,24121163
"CD4570-300","CL",124990,124990,"CLP","8.5","8.5","8.5","00193154366426","kg","cm",0.72,0.72,,33.5,20.7,11.5,,12789418,24121164
"CD4570-300","CL",124990,124990,"CLP","14","14","14","00193154366525","kg","cm",0.94,0.94,,38.3,24.2,13.5,,12789418,24121165
"CD4570-300","CL",124990,124990,"CLP","11","11","11","00193154366471","kg","cm",0.84,0.84,,36,23.7,12,,12789418,24121166
"CD4570-300","CL",124990,124990,"CLP","10","10","10","00193154366457","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121167
"CD4570-300","CL",124990,124990,"CLP","10.5","10.5","10.5","00193154366464","kg","cm",0.84,0.84,,34.4,23.2,12.5,,12789418,24121168
"CD4570-300","CL",124990,124990,"CLP","12.5","12.5","12.5","00193154366501","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121169
"CD4570-300","CL",124990,124990,"CLP","11.5","11.5","11.5","00193154366488","kg","cm",0.88,0.88,,36.4,23.8,12.7,,12789418,24121170
"CD4570-300","AE",779,779,"AED","9","9","9","00193154366433","kg","cm",0.74,0.74,,33.5,20.7,11.5,,12789418,24121154
